Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.throttle,driver_demands.brake
0.057715001,1.7388505,-0.000652145,-0.001085195,-0.005098652,1.81832E-06,0.011545115,4759.335378,99.2556697,0
0.055640829,1.737652736,-0.000500941,-0.001130854,-0.00505632,2.22003E-06,0.011046403,4761.218779,99.31799799,0
0.053555286,1.737716518,-0.000367516,-0.001148369,-0.005015683,1.85181E-06,0.010541323,4763.10022,99.33215811,0
0.051458928,1.738301184,-0.000700612,-0.001135869,-0.004976906,1.0306E-06,0.010030021,4764.986891,99.39307033,0
0.049352291,1.739110535,-0.000818523,-0.001094964,-0.004940882,5.87066E-07,0.00951254,4766.817716,99.40734118,0
0.047235624,1.739695764,-0.001153711,-0.001032606,-0.004908244,4.8946E-07,0.008988997,4768.64719,99.46889523,0
0.045109095,1.739078396,0.000154871,-0.000953836,-0.004878958,2.6324E-08,0.008459581,4770.119314,99.23718601,0
0.042971998,1.735985848,3.14091E-05,-0.000862197,-0.004855729,-8.93155E-07,0.007924396,4771.691406,99.30254416,0
0.040824687,1.733478094,0.000527389,-0.000767212,-0.004836307,-1.37968E-06,0.007383466,4773.453736,99.32090426,0
0.038667677,1.732306111,0.000590887,-0.000674025,-0.00482019,-1.06173E-06,0.006836908,4775.335973,99.38283196,0
0.036501194,1.732396837,0.000634313,-0.000588108,-0.004806649,-9.36469E-07,0.006284998,4777.21471,99.39744456,0
0.034325699,1.732996055,0.000219872,-0.000507873,-0.004795861,-1.49059E-06,0.005727967,4779.096791,99.45801404,0
0.032141745,1.733803265,1.90917E-05,-0.000437784,-0.00478838,-2.11586E-06,0.005165925,4780.922812,99.47276619,0
0.029950165,1.734379725,-0.000392232,-0.00037802,-0.004783764,-2.79954E-06,0.004598951,4782.747001,99.53398488,0
0.027751427,1.735049607,-0.000675737,-0.000329345,-0.004782492,-3.384E-06,0.0040271,4784.593611,99.59530305,0
0.025545912,1.734581326,0.00061892,-0.000294761,-0.004784184,-2.87716E-06,0.00345048,4786.066327,99.3625117,0
0.023333609,1.73157402,0.000454412,-0.000266288,-0.004789768,-2.3734E-06,0.002869416,4787.631994,99.42742091,0
0.02111434,1.729078526,0.00090205,-0.000250029,-0.004799092,-3.84821E-06,0.002284197,4789.386053,99.44591567,0
0.018888443,1.727874463,0.000920372,-0.000244055,-0.004811081,-5.73625E-06,0.001694745,4791.260123,99.50755788,0
0.01665602,1.727918621,0.000916506,-0.000245024,-0.00482602,-4.9725E-06,0.001100911,4793.132602,99.52238396,0
0.014417295,1.728480419,0.00045759,-0.000251187,-0.004843597,-3.07067E-06,0.00050305,4795.009771,99.58266401,0
0.012172785,1.729263556,0.00020856,-0.000258943,-0.004863497,-4.13547E-06,-9.82419E-05,4796.832049,99.59758315,0
0.009922201,1.729828576,-0.000248239,-0.000270218,-0.00488633,-7.23948E-06,-0.000702947,4798.652388,99.65846535,0
0.007665385,1.729192783,0.000932858,-0.000283432,-0.004911317,-7.8107E-06,-0.001311514,4800.115773,99.42689632,0
0.005402391,1.726093358,0.000691482,-0.000292513,-0.004938863,-5.965E-06,-0.001923877,4801.677818,99.49142491,0
0.003133423,1.723575664,0.001065247,-0.000303782,-0.004968125,-5.52767E-06,-0.002539398,4803.429812,99.51024352,0
0.000858401,1.722387488,0.001019261,-0.000314304,-0.004999001,-6.90178E-06,-0.003157774,4805.30059,99.57146992,0
-0.001423124,1.722450779,0.000952411,-0.000324704,-0.005031849,-7.46875E-06,-0.003779061,4807.168718,99.58666716,0
-0.003711039,1.72302287,0.000442038,-0.000331837,-0.00506571,-6.4523E-06,-0.004403144,4809.039987,99.646574,0
-0.006005343,1.723802996,0.000144056,-0.000336005,-0.005100786,-6.35187E-06,-0.005029608,4810.856239,99.66188493,0
-0.008305916,1.724360162,-0.000351074,-0.000339123,-0.005136139,-8.99926E-06,-0.005658244,4812.670095,99.72239802,0
-0.010612582,1.723716943,0.000788407,-0.000340631,-0.005171197,-1.11273E-05,-0.006289363,4814.128403,99.4917046,0
-0.012925637,1.720621909,0.000517215,-0.000339937,-0.005205462,-9.94761E-06,-0.006923165,4815.684767,99.55578173,0
-0.015245159,1.718106597,0.000859114,-0.000339995,-0.005238709,-8.63852E-06,-0.007559267,4817.430682,99.57490891,0
-0.017571241,1.716915497,0.000789784,-0.000340818,-0.005271902,-8.52706E-06,-0.008197158,4819.294654,99.63574555,0
-0.01990399,1.717162736,0.000473263,-0.000342756,-0.005304775,-8.65652E-06,-0.008836538,4821.213348,99.69531775,0
-0.022243226,1.718115631,0.00017368,-0.00034178,-0.005337018,-9.70744E-06,-0.009477229,4823.06395,99.71001483,0
-0.024588555,1.718971674,-0.000416805,-0.000339619,-0.005367932,-1.09415E-05,-0.010119225,4824.893691,99.76972492,0
-0.026939424,1.719654464,-0.000660393,-0.000336387,-0.00539622,-1.18049E-05,-0.010762566,4826.671207,99.78555023,0
-0.029296083,1.719979133,-0.001028024,-0.000333079,-0.005422227,-1.24454E-05,-0.011407224,4828.459336,99.84607668,0
-0.031658644,1.719118214,0.000246812,-0.000331689,-0.005445294,-1.17589E-05,-0.012053093,4829.904271,99.61455949,0
-0.03402643,1.715880913,7.78849E-05,-0.000325144,-0.005463647,-1.04566E-05,-0.012699807,4831.455652,99.67828466,0
-0.036399269,1.713300979,0.000480148,-0.000320529,-0.005478778,-1.10839E-05,-0.013346866,4833.20058,99.69742556,0
-0.038776929,1.71209774,0.000442851,-0.000315199,-0.00549111,-1.30383E-05,-0.013994155,4835.063345,99.75783163,0
-0.041159325,1.71215969,0.000366984,-0.000307934,-0.005501829,-1.35801E-05,-0.014641935,4836.922687,99.77343233,0
-0.043545848,1.712734164,-0.000142552,-0.000298573,-0.005509658,-1.29165E-05,-0.015290026,4838.78321,99.83258149,0
-0.045935911,1.712415892,0.000836819,-0.000286563,-0.00551383,-1.28642E-05,-0.015938058,4840.268669,99.60074227,0
-0.048329136,1.709662686,0.000381562,-0.000272486,-0.005511796,-1.35332E-05,-0.016585787,4841.828386,99.66353666,0
-0.050725238,1.707369255,0.000579286,-0.000258297,-0.005504627,-1.43205E-05,-0.017233118,4843.561667,99.6827383,0
-0.053123828,1.706264573,0.000443552,-0.000243938,-0.005494265,-1.52575E-05,-0.017879992,4845.40491,99.74283097,0
-0.055524227,1.706301589,0.000342409,-0.000228467,-0.005480877,-1.53994E-05,-0.01852637,4847.246058,99.75882881,0
-0.057925899,1.706800681,-0.000150968,-0.00020812,-0.005464254,-1.37742E-05,-0.019172022,4849.092664,99.81773753,0
-0.06032869,1.707496374,-0.000428169,-0.000186429,-0.005444378,-1.3139E-05,-0.019816376,4850.889056,99.83379076,0
-0.062731869,1.707988879,-0.000893857,-0.000161043,-0.005419874,-1.60445E-05,-0.0204591,4852.684848,99.89318902,0
-0.065134886,1.70730091,0.000255086,-0.000134399,-0.005390988,-1.83932E-05,-0.021100532,4854.127359,99.66267167,0
-0.067536482,1.704192306,-2.84812E-06,-0.000104756,-0.005353883,-1.65975E-05,-0.02174095,4855.666661,99.72540656,0
-0.069936092,1.701669257,0.000337918,-7.36639E-05,-0.005311625,-1.50548E-05,-0.022379754,4857.395087,99.74499459,0
-0.072333402,1.700465907,0.000280021,-4.34597E-05,-0.005266559,-1.68964E-05,-0.023016389,4859.239751,99.80465075,0
-0.074727755,1.700676313,-2.01255E-05,-9.80163E-06,-0.005219555,-1.88119E-05,-0.023650969,4861.137724,99.86311551,0
-0.07711844,1.701579919,-0.000304998,2.66508E-05,-0.005171047,-1.79269E-05,-0.024283625,4862.970229,99.8784873,0
-0.079504405,1.70239692,-0.000865513,6.45108E-05,-0.005118832,-1.66204E-05,-0.024913955,4864.782113,99.93706517,0
-0.081885188,1.703047559,-0.001088295,0.000103531,-0.005062911,-1.70904E-05,-0.02554145,4866.543222,99.95347288,0
-0.084260571,1.703295923,-0.001357801,0.000140462,-0.005002997,-1.80749E-05,-0.026165941,4868.297383,100,0
-0.086629652,1.702284556,-0.000106811,0.000178069,-0.004938532,-1.85194E-05,-0.026787396,4869.724306,99.77744101,0
