Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,engine.engine_rpm,driver_demands.brake,driver_demands.throttle
0.629271866,1.936240267,-0.079249879,-0.014124606,-0.056559261,1.2504E-08,0.129960046,4322.138004,0,100
0.609715087,1.93576228,-0.079927393,-0.01112594,-0.048572473,-1.0346E-07,0.129609474,4324.043956,0,100
0.590140763,1.935278699,-0.079794355,-0.008182568,-0.040848989,-2.19477E-07,0.129186011,4325.949084,0,100
0.570618243,1.934789556,-0.078924633,-0.005256864,-0.033425843,-3.17016E-07,0.128692889,4327.854319,0,100
0.551213187,1.934296165,-0.07739204,-0.002322568,-0.026335265,-2.36764E-07,0.128133305,4329.760444,0,100
0.531986845,1.933800092,-0.075269097,0.000635028,-0.019605167,-8.6734E-08,0.127510429,4331.668063,0,100
0.512996191,1.933302406,-0.072626536,0.003617493,-0.01325917,6.3364E-08,0.12682737,4333.577623,0,100
0.494293541,1.932803393,-0.069533127,0.006614668,-0.007316924,2.13531E-07,0.126087163,4335.48946,0,100
0.475926902,1.932302662,-0.066055581,0.009606261,-0.001794104,3.63766E-07,0.125292749,4337.403845,0,100
0.457939883,1.931799475,-0.06225838,0.012564073,0.003297327,5.14069E-07,0.124446972,4339.321009,0,100
0.440372162,1.93129307,-0.058203538,0.015455134,0.007949201,6.64441E-07,0.123552572,4341.241153,0,100
0.423259254,1.930782889,-0.053950276,0.018240861,0.0121567,8.14881E-07,0.12261217,4343.164442,0,100
0.406627198,1.930268646,-0.049563409,0.020834549,0.015913819,9.65389E-07,0.121628271,4345.090997,0,100
0.390487079,1.929750229,-0.045096343,0.023199962,0.019211497,1.11597E-06,0.120603282,4347.020886,0,100
0.374847044,1.929227406,-0.040592043,0.025306129,0.022043963,1.26661E-06,0.119539456,4348.954119,0,100
0.359716334,1.928699933,-0.036095152,0.027119653,0.02441133,1.31592E-06,0.118438936,4350.890649,0,100
0.345104207,1.928167925,-0.031647756,0.028623683,0.026319161,9.96091E-07,0.117303726,4352.83038,0,100
0.331018405,1.927631913,-0.02728706,0.029816567,0.027777298,6.41731E-07,0.116135645,4354.773176,0,100
0.317464086,1.927092542,-0.023044686,0.03070808,0.02879892,2.87211E-07,0.114936361,4356.718866,0,100
0.304443145,1.926550215,-0.018947014,0.031315625,0.029399872,-6.7469E-08,0.113707436,4358.667257,0,100
0.291953855,1.926004951,-0.015016024,0.031660967,0.029598244,-4.22307E-07,0.112450304,4360.618136,0,100
0.279990703,1.925456484,-0.011270178,0.031767476,0.029414031,-7.77305E-07,0.111166277,4362.571275,0,100
0.268544408,1.924904461,-0.007727491,0.031664181,0.028868946,-1.13246E-06,0.109856559,4364.52644,0,100
