Vehicle_States.lateral_acc_wrt_road,Vehicle_States.longitudinal_acc_wrt_road,Vehicle_States.pitch_angular_acc_wrt_road,Vehicle_States.roll_angular_acc_wrt_road,Vehicle_States.yaw_angular_acc_wrt_road,engine.engine_rpm,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance
6.14507182,1.395043027,0.212897883,-0.029683198,-0.051997266,5353.471105,0.001931292,1.349613596
6.110199737,1.417328807,0.214423186,-0.01987523,-0.020065668,5352.97364,0.001922143,1.351480998
6.075415856,1.422928345,0.218654886,-0.011889052,0.009420135,5351.856142,0.001912994,1.35324978
6.040210545,1.417714047,0.223931615,-0.00635316,0.037226577,5350.791527,0.001903845,1.354926345
6.004407341,1.407249402,0.227828802,-0.001891336,0.064252826,5350.128824,0.001894696,1.356516797
5.968224224,1.395665463,0.230309995,-0.001875327,0.091091676,5349.961356,0.001885546,1.358027105
5.931941378,1.385485165,0.22910663,-0.002458062,0.118007736,5350.225316,0.001876399,1.359463219
5.895938004,1.377428306,0.225575281,-0.000419154,0.145053332,5350.794134,0.001867259,1.36083117
5.860592439,1.371684493,0.219168501,0.001395792,0.171876535,5351.541518,0.001858121,1.362137006
5.826253967,1.367740031,0.210507123,0.004122397,0.198119832,5352.366765,0.001848983,1.363386705
5.793176538,1.364922874,0.200587412,0.009221793,0.223415752,5353.209326,0.001839844,1.364586109
5.761500751,1.362678659,0.189798179,0.016309339,0.247378003,5354.041465,0.001830716,1.365751932
5.73120705,1.360429151,0.178349367,0.024824754,0.269827594,5354.862955,0.001821576,1.366878628
5.702292274,1.357926535,0.166394937,0.034060102,0.290527328,5355.692351,0.001812436,1.367970621
5.674711301,1.355157857,0.153965047,0.043651169,0.309292494,5356.551506,0.001803296,1.369032282
5.648431513,1.352238272,0.141113663,0.053133091,0.325976823,5357.458002,0.001794156,1.370067525
5.623451609,1.349317724,0.127922383,0.062134031,0.340468078,5358.422318,0.001784974,1.371079781
5.599798217,1.346522931,0.11449187,0.070395679,0.352677821,5359.448037,0.001775747,1.372071983
5.577513246,1.343934891,0.100936497,0.077754069,0.362534252,5360.533654,0.001766519,1.373046549
