Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
-0.003339133,47.9394337,7.65225E-05,0.000405289,-6.96532E-05,-66.20569313,-0.010317615,6.72018E-06,0.001618788,0.002139398
-0.003351643,47.95652719,7.68172E-05,0.00040885,-6.98892E-05,-66.68501875,-0.010469088,6.77801E-06,0.001615597,0.002149771
-0.003364313,47.97360713,7.71135E-05,0.000412426,-7.01284E-05,-67.16451535,-0.01062217,6.83587E-06,0.001612389,0.002160195
-0.003377163,47.99064315,7.74115E-05,0.000416017,-7.03713E-05,-67.64418282,-0.010776877,6.89375E-06,0.001609172,0.002170666
-0.003390208,48.00763005,7.77118E-05,0.000419623,-7.06181E-05,-68.12402081,-0.010933222,6.95165E-06,0.001605956,0.002181183
-0.003403461,48.02459231,7.80144E-05,0.000423246,-7.08691E-05,-68.60402882,-0.011091222,7.00957E-06,0.001602749,0.002191744
-0.003416935,48.04155442,7.83198E-05,0.000426884,-7.11246E-05,-69.08420649,-0.01125089,7.06751E-06,0.00159956,0.002202344
-0.003430649,48.0585307,7.8628E-05,0.00043054,-7.13848E-05,-69.56455373,-0.011412243,7.12547E-06,0.001596399,0.002212972
-0.003444618,48.07552031,7.89393E-05,0.000434213,-7.16501E-05,-70.04507065,-0.011575295,7.17811E-06,0.001593274,0.002223621
-0.00345886,48.09248198,7.92539E-05,0.000437904,-7.1921E-05,-70.5257574,-0.011740059,7.20599E-06,0.001590193,0.002234285
-0.003473382,48.10939817,7.95719E-05,0.000441613,-7.21976E-05,-71.00661387,-0.011906545,7.23159E-06,0.001587157,0.002244966
-0.00348819,48.12628687,7.98934E-05,0.00044534,-7.24799E-05,-71.48763966,-0.012074782,7.25719E-06,0.001584192,0.002255667
-0.00350329,48.14317065,8.02188E-05,0.000449086,-7.27682E-05,-71.96883438,-0.012244768,7.28281E-06,0.001581286,0.002266389
-0.003518686,48.16006457,8.05481E-05,0.00045285,-7.30623E-05,-72.45019791,-0.012416498,7.30843E-06,0.001578428,0.002277132
-0.003534388,48.1769746,8.08814E-05,0.000456634,-7.33626E-05,-72.93173031,-0.01258998,7.33406E-06,0.001575621,0.002287892
-0.003550402,48.19390047,8.12189E-05,0.000460438,-7.36691E-05,-73.41343173,-0.012765222,7.3597E-06,0.001572864,0.00229867
-0.003566734,48.210839,8.15604E-05,0.000464261,-7.3982E-05,-73.89530236,-0.012942232,7.38535E-06,0.001570158,0.002309476
-0.003583387,48.2277839,8.19063E-05,0.000468104,-7.43013E-05,-74.37734235,-0.013121017,7.41101E-06,0.001567504,0.002320307
-0.003600362,48.24472643,8.22564E-05,0.000471967,-7.46271E-05,-74.8595518,-0.013301585,7.43747E-06,0.001564902,0.002331163
-0.003617657,48.26165649,8.26109E-05,0.000475851,-7.49592E-05,-75.34193072,-0.013483946,7.47706E-06,0.001562353,0.002342049
-0.003635266,48.2785486,8.29699E-05,0.000479755,-7.52977E-05,-75.82447903,-0.013668109,7.5235E-06,0.001559861,0.00235297
-0.003653179,48.29540006,8.33333E-05,0.000483679,-7.56424E-05,-76.30719641,-0.013854087,7.56995E-06,0.001557429,0.002363937
-0.003671386,48.31223184,8.37013E-05,0.000487623,-7.59929E-05,-76.79008245,-0.014041892,7.61642E-06,0.001555063,0.002374955
-0.003689877,48.32906456,8.40737E-05,0.000491587,-7.6349E-05,-77.27313684,-0.014231538,7.66291E-06,0.001552766,0.002386025
-0.003708645,48.34590982,8.44506E-05,0.000495572,-7.67106E-05,-77.75635953,-0.014423036,7.70941E-06,0.001550544,0.002397148
-0.003727684,48.36276755,8.48318E-05,0.000499577,-7.70776E-05,-78.23975062,-0.01461642,7.75593E-06,0.001548421,0.002408322
-0.00374699,48.37962954,8.52174E-05,0.000503602,-7.74497E-05,-78.72331025,-0.014811695,7.80247E-06,0.001546394,0.002419548
-0.003766554,48.39648667,8.56072E-05,0.000507647,-7.7827E-05,-79.2070385,-0.015008862,7.84902E-06,0.001544454,0.00243083
-0.003786367,48.41333308,8.60013E-05,0.000511712,-7.82092E-05,-79.69093537,-0.015207932,7.89558E-06,0.001542606,0.002442173
-0.003806418,48.43016481,8.63996E-05,0.000515797,-7.8596E-05,-80.17500077,-0.01540892,7.9382E-06,0.001540855,0.002453581
-0.003826695,48.44696963,8.68021E-05,0.000519903,-7.89873E-05,-80.65923455,-0.015611836,7.97481E-06,0.001539203,0.00246506
-0.003847184,48.46374972,8.72087E-05,0.000524028,-7.93827E-05,-81.14363649,-0.015816692,8.01118E-06,0.001537651,0.002476616
-0.003867871,48.48052056,8.76193E-05,0.000528173,-7.9782E-05,-81.62820631,-0.016023498,8.04755E-06,0.001536203,0.002488253
-0.003888746,48.49729315,8.80338E-05,0.000532337,-8.01848E-05,-82.11294385,-0.016232264,8.08394E-06,0.001534858,0.002499973
-0.003909799,48.51406845,8.84521E-05,0.000536521,-8.0591E-05,-82.5978491,-0.016443001,8.12034E-06,0.001533618,0.002511775
-0.003931023,48.53084194,8.88741E-05,0.000540724,-8.10005E-05,-83.0829221,-0.016655719,8.15676E-06,0.001532484,0.00252366
-0.003952408,48.5476087,8.92995E-05,0.000544947,-8.1413E-05,-83.56816283,-0.01687043,8.19318E-06,0.001531459,0.002535631
-0.003973945,48.56436551,8.97283E-05,0.000549189,-8.18284E-05,-84.05357128,-0.017087143,8.22962E-06,0.001530543,0.002547691
