Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle,driver_demands.brake
-0.003223135,36.44098316,0.000114003,0.000701622,-42.7776768,-0.012101407,1.03038E-05,0.00251424,0.003293623,100,0
-0.003213757,36.46129949,0.00011348,0.000707441,-43.14200367,-0.012319329,1.02039E-05,0.002519319,0.00326649,100,0
-0.00320339,36.48161397,0.000112927,0.000713195,-43.50653378,-0.012538611,1.0104E-05,0.002523293,0.003238831,100,0
-0.00319204,36.50192662,0.000112347,0.000718882,-43.87126713,-0.012759499,1.0004E-05,0.002526416,0.003210784,100,0
-0.003179714,36.52223745,0.000111738,0.0007245,-44.2362037,-0.012981711,9.904E-06,0.002528418,0.003182231,100,0
-0.00316642,36.54254648,0.000111101,0.000730049,-44.60134347,-0.013205486,9.80392E-06,0.002529547,0.0031533,100,0
-0.00315217,36.5628537,0.000110436,0.000735528,-44.96668644,-0.013430597,9.69952E-06,0.00252959,0.003123881,100,0
-0.003136974,36.58315914,0.000109744,0.000740936,-45.33223258,-0.013657198,9.57481E-06,0.002528711,0.003094094,100,0
-0.003120847,36.6034628,0.000109025,0.000746271,-45.69798188,-0.013885158,9.4461E-06,0.002526792,0.003063833,100,0
-0.003103802,36.62376468,0.000108278,0.000751533,-46.06393432,-0.014114533,9.31733E-06,0.002523902,0.003033215,100,0
-0.003085856,36.64406481,0.000107505,0.000756722,-46.43008989,-0.01434528,9.18848E-06,0.002520013,0.003002133,100,0
-0.003067024,36.66436317,0.000106706,0.000761836,-46.79644855,-0.014577371,9.05956E-06,0.002515109,0.002970702,100,0
-0.003047324,36.68465979,0.000105881,0.000766875,-47.1630103,-0.014810842,8.93057E-06,0.002509244,0.002938819,100,0
-0.003026774,36.70495467,0.000105031,0.000771838,-47.52977511,-0.015045589,8.8015E-06,0.002502327,0.002906595,100,0
-0.003005393,36.7252478,0.000104156,0.000776725,-47.89674296,-0.015281723,8.67237E-06,0.002494485,0.002873927,100,0
-0.002983201,36.74553921,0.000103256,0.000781534,-48.26391383,-0.015519067,8.54316E-06,0.00248556,0.002840928,100,0
-0.002960217,36.76582889,0.000102332,0.000786267,-48.6312877,-0.015757798,8.41388E-06,0.002475746,0.002807498,100,0
-0.002936461,36.78611684,0.000101384,0.000790921,-48.99886454,-0.015997682,8.28454E-06,0.002464823,0.002773737,100,0
-0.002911953,36.80640307,0.000100413,0.000795496,-49.36664434,-0.016238945,8.15512E-06,0.002453039,0.002739561,100,0
-0.002886715,36.82668759,9.94195E-05,0.000799993,-49.73462707,-0.016481334,8.02564E-06,0.002440157,0.002705055,100,0
-0.002860765,36.84697038,9.84038E-05,0.00080441,-50.1028127,-0.016725038,7.91333E-06,0.002426387,0.00267015,100,0
-0.002834125,36.86725147,9.73665E-05,0.000808748,-50.47120122,-0.016969871,7.82222E-06,0.002411561,0.002634916,100,0
-0.002806815,36.88753084,9.6308E-05,0.000813006,-50.8397926,-0.017215966,7.73259E-06,0.002395832,0.002599299,100,0
-0.002778853,36.90780849,9.52288E-05,0.000817183,-51.20858682,-0.017463194,7.64292E-06,0.002379093,0.002563355,100,0
-0.002750261,36.92808443,9.41295E-05,0.000821279,-51.57758386,-0.01771164,7.5532E-06,0.002361446,0.002527044,100,0
-0.002721057,36.94835866,9.30105E-05,0.000825295,-51.94678369,-0.017961222,7.46342E-06,0.002342834,0.002490409,100,0
-0.00269126,36.96863118,9.18724E-05,0.000829229,-52.31618629,-0.018211976,7.3736E-06,0.002323313,0.002453422,100,0
-0.002660887,36.98890198,9.07157E-05,0.000833082,-52.68579165,-0.018463868,7.28373E-06,0.00230287,0.002416114,100,0
-0.002629957,37.00917106,8.95408E-05,0.000836853,-53.05559973,-0.018716891,7.19381E-06,0.002281522,0.00237847,100,0
-0.002598487,37.02943843,8.83484E-05,0.000840541,-53.42561051,-0.018971049,7.10384E-06,0.002259294,0.002340507,100,0
-0.002566493,37.04970407,8.71389E-05,0.000844148,-53.79582398,-0.019226298,7.01382E-06,0.002236167,0.002302224,100,0
-0.002533991,37.06996799,8.59127E-05,0.000847671,-54.16624012,-0.019482679,6.92375E-06,0.002212202,0.00226363,100,0
-0.002500996,37.09023019,8.46705E-05,0.000851112,-54.5368589,-0.019740114,6.83363E-06,0.002187347,0.002224731,100,0
-0.002467522,37.11049066,8.34127E-05,0.00085447,-54.9076803,-0.019998672,6.74007E-06,0.002161694,0.002185529,100,0
-0.002433584,37.1307494,8.21397E-05,0.000857744,-55.2787043,-0.020258249,6.62787E-06,0.002135164,0.002146038,100,0
-0.002399195,37.15100641,8.08521E-05,0.000860935,-55.64993088,-0.020518937,6.5086E-06,0.002107872,0.002106256,100,0
-0.002364366,37.17126168,7.95504E-05,0.000864042,-56.02136002,-0.020780604,6.38926E-06,0.002079711,0.002066201,100,0
-0.00232911,37.19151521,7.82349E-05,0.000867065,-56.39299171,-0.021043361,6.26985E-06,0.002050818,0.002025869,100,0
-0.002293438,37.211767,7.69061E-05,0.000870004,-56.76482592,-0.021307058,6.15038E-06,0.002021067,0.001985279,100,0
-0.00225736,37.23201704,7.55645E-05,0.000872858,-57.13686264,-0.021571823,6.03085E-06,0.001990613,0.001944428,100,0
-0.002220885,37.25226533,7.42105E-05,0.000875628,-57.50910184,-0.021837492,5.91125E-06,0.001959316,0.001903338,100,0
-0.002184023,37.27251186,7.28445E-05,0.000878312,-57.8815435,-0.022104204,5.79158E-06,0.001927341,0.001862006,100,0
-0.002146783,37.29275664,7.14668E-05,0.000880912,-58.25418762,-0.022371783,5.67185E-06,0.001894541,0.00182045,100,0
-0.002109172,37.31299965,7.0078E-05,0.000883426,-58.62703417,-0.022640379,5.55206E-06,0.001861089,0.001778676,100,0
-0.002071198,37.3332409,6.86784E-05,0.000885855,-59.00008313,-0.02290981,5.4322E-06,0.001826831,0.001736693,100,0
-0.002032869,37.35348037,6.72683E-05,0.000888198,-59.37333448,-0.023180228,5.31228E-06,0.001791946,0.001694512,100,0
-0.00199419,37.37371808,6.58482E-05,0.000890455,-59.74678822,-0.023451453,5.19229E-06,0.001756281,0.001652142,100,0
-0.001955168,37.393954,6.44183E-05,0.000892626,-60.12044431,-0.023723626,5.07609E-06,0.001720004,0.001609593,100,0
-0.001915809,37.41418814,6.29791E-05,0.000894711,-60.49430275,-0.023996582,4.96366E-06,0.001682978,0.001566876,100,0
-0.00187612,37.4344205,6.15309E-05,0.000896709,-60.86836352,-0.024270451,4.85141E-06,0.00164536,0.001523998,100,0
-0.001836105,37.45465107,6.0074E-05,0.000898621,-61.24262659,-0.024545079,4.7391E-06,0.001607025,0.001480974,100,0
-0.00179577,37.47487984,5.86088E-05,0.000900446,-61.61709196,-0.024820586,4.62673E-06,0.001568119,0.001437804,100,0
-0.001755121,37.49510682,5.71356E-05,0.000902185,-61.9917596,-0.025096827,4.5143E-06,0.001528527,0.001394513,100,0
-0.001714163,37.51533199,5.56547E-05,0.000903836,-62.36662951,-0.025373913,4.4018E-06,0.001488388,0.00135109,100,0
-0.001672901,37.53555536,5.41665E-05,0.000905401,-62.74170165,-0.025651708,4.28925E-06,0.001447594,0.001307571,100,0
-0.00163134,37.55577692,5.26712E-05,0.000906879,-63.11697602,-0.025930314,4.17663E-06,0.001406277,0.001263931,100,0
-0.001589487,37.57599666,5.11693E-05,0.000908269,-63.4924526,-0.026209603,4.06396E-06,0.001364336,0.001220216,100,0
-0.001547347,37.59621459,4.96609E-05,0.000909573,-63.86813138,-0.026489671,3.95122E-06,0.001321898,0.001176402,100,0
-0.001504926,37.61643069,4.81465E-05,0.000910789,-64.24401232,-0.026770392,3.83842E-06,0.001278865,0.001132524,100,0
-0.001462229,37.63664497,4.66262E-05,0.000911918,-64.62009543,-0.027051862,3.72557E-06,0.001235363,0.001088572,100,0
-0.001419262,37.65685742,4.51005E-05,0.000912961,-64.99638068,-0.027333957,3.61354E-06,0.001191296,0.001044565,100,0
-0.001376033,37.67706803,4.35697E-05,0.000913916,-65.37286805,-0.027616768,3.50485E-06,0.001146787,0.00100051,100,0
-0.001332547,37.6972768,4.2034E-05,0.000914785,-65.74955753,-0.027900176,3.39638E-06,0.001101745,0.000956404,100,0
