Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,Vehicle_States.side_slip,driving_machine_monitor.path_x,driving_machine_monitor.path_y,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering,driver_demands.throttle
364.2696833,201.0001982,4.33594E-05,10.00002152,-5.15247E-06,-1.01204E-05,4.33593E-06,-362.4585725,-201,0,-0.000191772,0.002157548,8.362445631
364.3696835,201.0001977,4.36496E-05,10.00002098,-5.14321E-06,-1.01389E-05,4.36495E-06,-362.5585728,-201,0,-0.000191226,0.002158565,8.362453837
364.4696837,201.0001971,4.39339E-05,10.00002045,-5.13408E-06,-1.01556E-05,4.39339E-06,-362.658573,-201,0,-0.000190677,0.00215956,8.362461968
364.5696839,201.0001965,4.42121E-05,10.00001992,-5.12506E-06,-1.01707E-05,4.4212E-06,-362.7585732,-201,0,-0.000190127,0.002160532,8.362470027
364.6696841,201.0001959,4.44844E-05,10.0000194,-5.11616E-06,-1.01841E-05,4.44843E-06,-362.8585734,-201,0,-0.000189574,0.00216148,8.362478013
364.7696843,201.0001953,4.47506E-05,10.00001889,-5.10735E-06,-1.01959E-05,4.47506E-06,-362.9585736,-201,0,-0.000189021,0.002162408,8.362485926
364.8696845,201.0001948,4.50107E-05,10.00001838,-5.09863E-06,-1.02061E-05,4.50107E-06,-363.0585738,-201,0,-0.000188466,0.002163312,8.362493768
364.9696847,201.0001942,4.5265E-05,10.00001788,-5.09E-06,-1.02148E-05,4.5265E-06,-363.158574,-201,0,-0.000187909,0.002164194,8.362501539
365.0696848,201.0001936,4.55134E-05,10.00001739,-5.08147E-06,-1.0222E-05,4.55133E-06,-363.2585741,-201,0,-0.000187352,0.002165056,8.362509238
365.169685,201.0001931,4.57561E-05,10.0000169,-5.07309E-06,-1.02277E-05,4.5756E-06,-363.3585743,-201,0,-0.000186794,0.002165895,8.362516868
365.2696852,201.0001925,4.59931E-05,10.00001642,-5.06486E-06,-1.0232E-05,4.5993E-06,-363.4585745,-201,0,-0.000186235,0.002166715,8.362524428
365.3696853,201.0001919,4.62246E-05,10.00001594,-5.05683E-06,-1.02349E-05,4.62245E-06,-363.5585746,-201,0,-0.000185676,0.002167513,8.362531919
365.4696855,201.0001914,4.64509E-05,10.00001547,-5.04902E-06,-1.02364E-05,4.64508E-06,-363.6585748,-201,0,-0.000185116,0.002168293,8.36253934
365.5696856,201.0001908,4.66721E-05,10.00001501,-5.04145E-06,-1.02366E-05,4.66721E-06,-363.758575,-201,0,-0.000184556,0.002169053,8.362546694
365.6696858,201.0001902,4.68886E-05,10.00001455,-5.03415E-06,-1.02355E-05,4.68886E-06,-363.8585751,-201,0,-0.000183995,0.002169794,8.362553979
365.7696859,201.0001897,4.71007E-05,10.0000141,-5.02715E-06,-1.0233E-05,4.71006E-06,-363.9585753,-201,0,-0.000183435,0.002170519,8.362561198
365.8696861,201.0001891,4.73084E-05,10.00001366,-5.02045E-06,-1.02294E-05,4.73083E-06,-364.0585754,-201,0,-0.000182875,0.002171223,8.362568349
365.9696862,201.0001886,4.7512E-05,10.00001321,-5.01406E-06,-1.02245E-05,4.75119E-06,-364.1585755,-201,0,-0.000182315,0.002171911,8.362575434
366.0696863,201.000188,4.77116E-05,10.00001278,-5.00795E-06,-1.02185E-05,4.77115E-06,-364.2585757,-201,0,-0.000181755,0.002172582,8.362582453
366.1696865,201.0001875,4.79072E-05,10.00001235,-5.0021E-06,-1.02113E-05,4.79071E-06,-364.3585758,-201,0,-0.000181196,0.002173234,8.362589407
366.2696866,201.0001869,4.80989E-05,10.00001193,-4.99646E-06,-1.0203E-05,4.80988E-06,-364.4585759,-201,0,-0.000180637,0.00217387,8.362596295
366.3696867,201.0001864,4.82865E-05,10.00001151,-4.99101E-06,-1.01936E-05,4.82865E-06,-364.5585761,-201,0,-0.000180079,0.002174488,8.362603119
366.4696868,201.0001858,4.84701E-05,10.0000111,-4.9857E-06,-1.01832E-05,4.847E-06,-364.6585762,-201,0,-0.000179522,0.002175089,8.362609879
366.5696869,201.0001853,4.86495E-05,10.00001069,-4.98052E-06,-1.01717E-05,4.86494E-06,-364.7585763,-201,0,-0.000178966,0.002175672,8.362616575
366.669687,201.0001848,4.88245E-05,10.00001029,-4.97548E-06,-1.01592E-05,4.88245E-06,-364.8585764,-201,0,-0.000178411,0.002176237,8.362623208
366.7696871,201.0001842,4.89953E-05,10.00000989,-4.97053E-06,-1.01458E-05,4.89953E-06,-364.9585765,-201,0,-0.000177858,0.002176786,8.362629778
366.8696872,201.0001837,4.91617E-05,10.0000095,-4.96571E-06,-1.01314E-05,4.91616E-06,-365.0585766,-201,0,-0.000177305,0.002177315,8.362636286
366.9696873,201.0001832,4.93236E-05,10.00000911,-4.961E-06,-1.0116E-05,4.93236E-06,-365.1585767,-201,0,-0.000176754,0.002177829,8.362642732
367.0696874,201.0001827,4.94812E-05,10.00000873,-4.95644E-06,-1.00998E-05,4.94811E-06,-365.2585768,-201,0,-0.000176205,0.002178326,8.362649117
